treated_club,treated_season,treated_tier,treated_ps,control_club,control_season,control_ps,ps_dist
317,2023/2024,2,0.29213467932065723,57,2024/2025,0.2910503972238463,0.005249079284615821
317,2023/2024,2,0.29213467932065723,319,2019/2020,0.29078344276416745,0.006543189007048977
169,2022/2023,3,0.48545937219202717,206,2023/2024,0.4712746140573549,0.05684929305089017
169,2022/2023,3,0.48545937219202717,286,2021/2022,0.4685622874458432,0.06773803946651175
169,2022/2023,3,0.48545937219202717,443,2024/2025,0.4682453923984355,0.06901070178169671
169,2024/2025,3,0.5359491016354077,101,2022/2023,0.5371478851939063,0.004820895448852419
86,2020/2021,2,0.3635847602563452,3,2020/2021,0.3625257055415916,0.004579775140746145
86,2020/2021,2,0.3635847602563452,259,2019/2020,0.3652497741852704,0.007188651079522379
86,2022/2023,2,0.41774915390348416,384,2021/2022,0.4192643594558791,0.00622622462462058
416,2023/2024,1,0.5416963785066137,362,2021/2022,0.536547941852766,0.020720790459287597
238,2020/2021,1,0.34727816307381265,230,2021/2022,0.34593312852977387,0.0059391300777061895
80,2019/2020,3,0.3177679172830615,207,2024/2025,0.3192374570811681,0.006770249629244107
80,2022/2023,3,0.4123367259330276,288,2022/2023,0.4108130887023301,0.006291321718595366
186,2021/2022,1,0.35925264707306703,228,2020/2021,0.35867154026349024,0.002525362545450882
186,2021/2022,1,0.35925264707306703,277,2019/2020,0.35838410882584426,0.003775142617008176
131,2022/2023,1,0.24032534364823438,235,2020/2021,0.23988368816686528,0.0024206362274645787
171,2019/2020,3,0.1497882293562311,172,2021/2022,0.14935057190879442,0.0034407487160483807
171,2019/2020,3,0.1497882293562311,68,2019/2020,0.15080709604355277,0.007978104931751995
390,2023/2024,3,0.36463610513797423,171,2020/2021,0.36736489586277127,0.011759833056766311
382,2021/2022,2,0.47865929758667836,121,2022/2023,0.47879166356348096,0.0005304242008011412
324,2021/2022,2,0.1298875458298538,8,2020/2021,0.12970652219724077,0.001602691779373
319,2021/2022,2,0.5194936353243033,306,2022/2023,0.5174652488093868,0.008124655201309755
82,2019/2020,2,0.06363701493669391,56,2024/2025,0.06379676991290341,0.0026778906174800277
82,2022/2023,2,0.12944173501301015,259,2020/2021,0.1285317387288214,0.008099745416764392
82,2022/2023,2,0.12944173501301015,57,2021/2022,0.128356263030704,0.009667246741155378
198,2020/2021,1,0.3656809636554466,409,2024/2025,0.3657527789860086,0.00030959148629461364
198,2020/2021,1,0.3656809636554466,40,2021/2022,0.36627950464023085,0.002579488159524246
